time (ms),datetime,samples,Viavi.UE.Name,Viavi.UE.Slice,Viavi.Cell.Name,Viavi.Cell.beam,Viavi.mMIMO.Type,Viavi.UE.Rsrp,Viavi.UE.Rsrq,Viavi.UE.RsSinr,Viavi.UE.targetThroughputDl,Viavi.UE.anomalies,Viavi.QoS.Priority,Viavi.QoS.5qi,Viavi.DL.Latency,Viavi.QoS.Score,DRB.UECqiUl,DRB.UEBlerUl,Viavi.DRB.UeMcsUl,DRB.UEThpUl,RRU.PrbUsedUl,TB.TotNbrUl,DRB.UECqiDl,DRB.UEBlerDl,Viavi.DRB.UeMcsDl,DRB.UEThpDl,RRU.PrbUsedDl,RRU.PrbTotDl,RRU.PrbTotUl,TB.TotNbrDl,Viavi.CA.cells,Viavi.Geo.x,Viavi.Geo.y,Viavi.Geo.z,Viavi.UE.servingDistance,RRC.timingAdvance,Viavi.UE.RI
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,Indoor-39,eMBB,S1/N12/C3,0,CSI-RS,-134.102,-22.0978,-11.0578,0.8,0,20,1,0,90.6344,0,0,0,0.0215451,6.98,447.51,0,1,0,0.724144,24.9022,23.4927,6.58491,4048.53,1,-1512,1447,2,1116,0,1
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,Indoor-40,eMBB,S5/N12/C1,0,CSI-RS,-119.169,-12.1422,1.88444,0.8,0,20,1,0,93.9822,0,0,0,0.0352295,11.01,447.51,4.97778,0.0780793,5.97333,0.748892,7.07938,6.67866,10.3868,4059.51,1,-1975,79,6,942,0,1
1672531200000,2023-01-01 00:00:00 ~ 00:00:00,1,Indoor-41,eMBB,S3/N1/C1,0,CSI-RS,-149,-37,-24,0,0,20,1,0,100,0,0,0,0,0,0,0,1,0,0.727051,23.3333,22.0126,0,16,0,-1912,802,16,0,0,1
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,Indoor-42,eMBB,S7/N12/C1,0,CSI-RS,-157,-44,-24,0.8,0,20,1,0,91,0,0,0,0.0830185,24.9489,449.5,0,1,0,0.727051,24.9981,23.5832,23.5367,4061.5,1,1770,-1360,32,1043,0,1
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,Indoor-43,eMBB,S1/N12/C3,0,CSI-RS,-124.058,-15.0444,-2.05444,0.8,0,20,1,0,90.9933,0,0,0,0.0217219,7.03222,447.51,2.98667,0.101301,2.98556,0.726998,12.06,11.3774,6.63417,4059.51,1,-1938,48,25.9956,1640.91,0,1
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,Indoor-44,eMBB,S1/N12/C3,0,CSI-RS,-118,-12,3,0.8,0,20,1,0,88.9889,0,0,0,0.0177375,6.04,449.5,6,0.0964521,8,0.712804,5,4.71698,5.69811,4060.5,1,-1390,1131,16,883,0,1
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,Indoor-45,eMBB,S3/N12/C2,0,CSI-RS,-128.129,-18.1144,-6.08,0.8,0,20,1,0,85.4444,0,0,0,0.0486839,14.9644,447.51,1.99111,0.114616,0,0.686991,23.7299,22.3867,14.1174,4050.58,1,454,-1265,45.9733,1928.69,0,1
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,Indoor-46,eMBB,S1/N12/C3,0,CSI-RS,-107.102,-10.04,12.9122,0.8,0,20,1,0,109.917,0,0,0,0.0216873,7.02222,447.51,10.9567,0.0902681,20.9078,0.877753,2.10123,1.9823,6.62474,4059.51,1,-732,553,35.9844,405,0,1
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,Indoor-47,eMBB,S4/N12/C3,0,CSI-RS,-131.116,-20.1067,-9.06667,0.8,0,20,1,0,41.7111,0,0,0,0.0216597,7.01333,447.51,0,0.41171,0,0.332071,11.6812,11.02,6.61635,2552.86,1,1728,-1313,35.9844,1557.78,0,1
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,Indoor-48,eMBB,S5/N1/C3,0,CSI-RS,-157,-44,-24,0.8,0,20,1,0,91,0,0,0,0.0830985,24.9722,449.5,0,1,0,0.727051,24.9981,23.5832,23.5587,4061.5,1,-1595,-1107,12,386,0,1
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,Indoor-49,eMBB,S5/N12/C1,0,CSI-RS,-118,-12,2.99444,0.8,0,20,1,0,89.0156,0,0,0,0.0313784,10.0489,449.5,5.99444,0.0963272,7.98889,0.713,5.01086,4.72723,9.48008,4060.5,1,-1914,-5,22,855,0,1
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,Indoor-50,eMBB,S4/N12/C3,0,CSI-RS,-137.089,-25.0844,-14.0444,0.8,0,20,1,0,41.71,0,0,0,0.0248276,8.00667,447.51,0,1,0,0.332058,11.6806,11.0195,7.55346,2552.61,1,1469,-917,16,1229.33,0,1
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,Pedestrian-51,eMBB,S4/N12/C3,0,CSI-RS,-89,-10,19.9867,0.8,0,20,1,0,173.99,0,0,0,0.0218669,7.07556,449.5,15,0,28,1.38957,2.00099,1.88772,6.67505,4061.5,1,1510,282,2,392,0,1
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,Pedestrian-52,eMBB,S5/N12/C3,0,CSI-RS,-71,-10,40,0.8,0,20,1,0,173.99,0,0,0,0.0830985,24.9722,449.5,15,0,28,1.38957,2.00099,1.88772,23.5587,4061.5,1,-2159,-994,2,298,0,1
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,Pedestrian-53,eMBB,S7/N12/C2,0,CSI-RS,-89,-10,31.9989,0.8,0,20,1,0,173.99,0,0,0,0.0312433,10.01,449.5,15,0,28,1.38957,2.00099,1.88772,9.4434,4061.5,1,1334,-1163,2,579,0,1
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,Pedestrian-54,eMBB,S2/N12/C1,0,CSI-RS,-85,-10,31.9878,0.8,0,20,1,0,173.99,0,0,0,0.0520598,16.0156,449.5,15,0,28,1.38957,2.00099,1.88772,15.109,4061.5,1,1441,1489,2,485,0,1
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,Pedestrian-55,eMBB,S4/N1/C2,0,CSI-RS,-97,-10,21.9867,0.8,0,20,1,0,173.961,0,0,0,0.0830985,24.9722,449.5,14.9978,0.000100324,27.9967,1.38934,2.00099,1.88772,23.5587,4061.5,1,2658,-127,2,841,0,1
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,Pedestrian-56,eMBB,S2/N12/C2,0,CSI-RS,-81.0311,-10,39.9733,0.8,0,20,1,0,173.974,0,0,0,0.0415493,12.9833,447.51,15,0,28,1.38944,2.00247,1.88912,12.2484,4059.51,1,1627,1023,2,396,0,1
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,Pedestrian-57,eMBB,S3/N1/C3,0,CSI-RS,-88,-10,34,0.8,0,20,1,0,173.99,0,0,0,0.0830639,24.9622,449.5,15,0,28,1.38957,2.00099,1.88772,23.5493,4061.5,1,-1264,-374,2,538,0,1
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,Pedestrian-58,eMBB,S4/N12/C1,0,CSI-RS,-74,-10,25.0022,0.8,0,20,1,0,173.99,0,0,0,0.0830639,24.9622,449.5,15,0,28,1.38957,2.00099,1.88772,23.5493,4061.5,1,1774,453,2,248,0,1
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,Pedestrian-59,eMBB,S5/N12/C1,0,CSI-RS,-76.0756,-10,24.0267,0.8,0,20,1,0,173.976,0,0,0,0.0351841,10.9967,447.51,15,0,28,1.38946,2.00296,1.88959,10.3742,4059.51,1,-1893,-444,2,419.622,0,1
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,Pedestrian-60,eMBB,S6/N1/C1,0,CSI-RS,-93,-10,29,0.8,0,20,1,0,173.99,0,0,0,0.0830985,24.9722,449.5,15,0,28,1.38957,2.00099,1.88772,23.5587,4061.5,1,-368,-356,2,731,0,1
1672531200000,2023-01-01 00:00:00 ~ 00:14:59,900,Pedestrian-61,eMBB,S1/N12/C3,0,CSI-RS,-94,-11.0067,4.99444,0.8,0,20,1,0,89.0778,0,0,0,0.021681,7.02222,449.5,6.99333,0.0841743,10.9944,0.7135,4.00691,3.78011,6.62474,4060.5,1,-737,363,2,580,0,1
